root@localhost:~# docker system df -v
Images space usage:

REPOSITORY                                          TAG       IMAGE ID       CREATED         SIZE      SHARED SIZE   UNIQUE SIZE   CONTAINERS
sweb.eval.x86_64.sympy__sympy-24661                 latest    2e76a2eac2ca   9 days ago      2.58GB    2.582GB       0B            0
sweb.eval.x86_64.sympy__sympy-24562                 latest    fc3c5d892ae9   9 days ago      2.58GB    2.582GB       0B            0
sweb.eval.x86_64.sympy__sympy-24539                 latest    c0ec83e2761e   9 days ago      2.58GB    2.582GB       0B            0
sweb.eval.x86_64.sympy__sympy-24443                 latest    794e735cd160   9 days ago      2.58GB    2.582GB       0B            0
sweb.eval.x86_64.sympy__sympy-24213                 latest    dbf9750f1336   9 days ago      2.59GB    2.59GB        0B            0
sweb.eval.x86_64.sympy__sympy-24066                 latest    4fac612c67e7   9 days ago      2.59GB    2.59GB        0B            0
sweb.eval.x86_64.sympy__sympy-23950                 latest    117c53ef99d7   9 days ago      2.59GB    2.59GB        0B            0
sweb.eval.x86_64.sympy__sympy-23824                 latest    c76c7339c83c   9 days ago      2.6GB     2.596GB       0B            0
sweb.eval.x86_64.sympy__sympy-23534                 latest    f03f2761ecac   9 days ago      2.59GB    2.59GB        0B            0
sweb.eval.x86_64.sympy__sympy-23413                 latest    852972a34b1e   9 days ago      2.59GB    2.589GB       0B            0
sweb.eval.x86_64.sympy__sympy-23262                 latest    1d0fe9fea954   9 days ago      2.59GB    2.589GB       0B            0
sweb.eval.x86_64.sympy__sympy-22914                 latest    13082983aef2   9 days ago      2.59GB    2.589GB       0B            0
sweb.eval.x86_64.sympy__sympy-22714                 latest    fe85b041156d   9 days ago      2.59GB    2.589GB       0B            0
sweb.eval.x86_64.sympy__sympy-22456                 latest    25b3a78ef9fd   9 days ago      2.59GB    2.589GB       0B            0
sweb.eval.x86_64.sympy__sympy-22080                 latest    4f079952356f   9 days ago      2.59GB    2.588GB       0B            0
sweb.eval.x86_64.sympy__sympy-21930                 latest    0690af6870ab   9 days ago      2.59GB    2.588GB       0B            0
sweb.eval.x86_64.sympy__sympy-21847                 latest    540f5cc63ee7   9 days ago      2.59GB    2.588GB       0B            0
sweb.eval.x86_64.sympy__sympy-21612                 latest    b3f502edb62c   9 days ago      2.59GB    2.588GB       0B            0
sweb.eval.x86_64.sympy__sympy-21596                 latest    49815e84d4e4   9 days ago      2.59GB    2.588GB       0B            0
sweb.eval.x86_64.sympy__sympy-21379                 latest    c80eefb0bde5   9 days ago      2.59GB    2.588GB       0B            0
sweb.eval.x86_64.sympy__sympy-20916                 latest    e3956bde23cb   9 days ago      2.59GB    2.587GB       0B            0
sweb.eval.x86_64.sympy__sympy-20801                 latest    1b94d200214a   9 days ago      2.59GB    2.587GB       0B            0
sweb.eval.x86_64.sympy__sympy-20590                 latest    23d78f6ee210   9 days ago      2.59GB    2.587GB       0B            0
sweb.eval.x86_64.sympy__sympy-20438                 latest    103a76ef03da   9 days ago      2.59GB    2.587GB       0B            0
sweb.eval.x86_64.sympy__sympy-20428                 latest    eef59a78e78c   9 days ago      2.59GB    2.587GB       0B            0
sweb.eval.x86_64.sympy__sympy-20154                 latest    82f4ab27b288   9 days ago      2.59GB    2.587GB       0B            0
sweb.eval.x86_64.sympy__sympy-19954                 latest    6a7756aebddd   9 days ago      2.59GB    2.587GB       0B            0
sweb.eval.x86_64.sympy__sympy-19783                 latest    bc67be848761   9 days ago      2.59GB    2.586GB       0B            0
sweb.eval.x86_64.sympy__sympy-19637                 latest    3aa1b3d5d363   9 days ago      2.59GB    2.586GB       0B            0
sweb.eval.x86_64.sympy__sympy-19495                 latest    a5f604d0f66e   9 days ago      2.59GB    2.586GB       0B            0
sweb.eval.x86_64.sympy__sympy-19346                 latest    2066ef6f2801   9 days ago      2.59GB    2.586GB       0B            0
sweb.eval.x86_64.sympy__sympy-19040                 latest    db4a5ec5c551   9 days ago      2.59GB    2.586GB       0B            0
sweb.eval.x86_64.sympy__sympy-18763                 latest    bab92a738f50   9 days ago      2.59GB    2.585GB       0B            0
sweb.eval.x86_64.sympy__sympy-18698                 latest    3e9f4222250d   9 days ago      2.59GB    2.586GB       0B            0
sweb.eval.x86_64.sympy__sympy-18211                 latest    8866f427dcd5   9 days ago      2.59GB    2.585GB       0B            0
sweb.eval.x86_64.sympy__sympy-18199                 latest    8f2f58113511   9 days ago      2.59GB    2.586GB       0B            0
sweb.eval.x86_64.sympy__sympy-18189                 latest    5a5fb9880010   9 days ago      2.59GB    2.585GB       0B            0
