id,anthropic/claude-3-opus-20240229_score,anthropic/claude-3-opus-20240229_pass_to_pass_pass_rate,anthropic/claude-3-opus-20240229_fail_to_pass_pass_rate,anthropic/claude-3-sonnet-20240229_score,anthropic/claude-3-sonnet-20240229_pass_to_pass_pass_rate,anthropic/claude-3-sonnet-20240229_fail_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20240620_score,anthropic/claude-3-5-sonnet-20240620_pass_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20240620_fail_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20241022_score,anthropic/claude-3-5-sonnet-20241022_pass_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20241022_fail_to_pass_pass_rate,openai/gpt4o-2024-08-06_score,openai/gpt4o-2024-08-06_pass_to_pass_pass_rate,openai/gpt4o-2024-08-06_fail_to_pass_pass_rate,openai/gpt-4o-mini-2024-07-18_score,openai/gpt-4o-mini-2024-07-18_pass_to_pass_pass_rate,openai/gpt-4o-mini-2024-07-18_fail_to_pass_pass_rate,openai/gpt-4-turbo-2024-04-09_score,openai/gpt-4-turbo-2024-04-09_pass_to_pass_pass_rate,openai/gpt-4-turbo-2024-04-09_fail_to_pass_pass_rate,difficulty,size_in_gb,environment
astropy__astropy-12907,0.0,1.0,0.0,0.0,0.4615384615384615,0.0,0.0,0.4615384615384615,0.0,0.0,0.9230769230769232,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15 min - 1 hour,2.71,sweb.env.x86_64.428468730904ff6b4232aa:latest
astropy__astropy-13033,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.95,0.0,0.0,0.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15 min - 1 hour,2.71,sweb.env.x86_64.428468730904ff6b4232aa:latest
astropy__astropy-13236,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9968944099378882,0.0,0.0,1.0,0.0,15 min - 1 hour,2.71,sweb.env.x86_64.428468730904ff6b4232aa:latest
astropy__astropy-13398,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9264705882352942,0.0,0.0,1.0,0.0,0.0,0.8382352941176471,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1-4 hours,2.71,sweb.env.x86_64.428468730904ff6b4232aa:latest
astropy__astropy-13453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15 min - 1 hour,2.71,sweb.env.x86_64.428468730904ff6b4232aa:latest
astropy__astropy-13579,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1-4 hours,2.71,sweb.env.x86_64.428468730904ff6b4232aa:latest
astropy__astropy-13977,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8105590062111802,1.0,0.0,1.0,0.0,0.0,0.9192546583850932,0.0,0.0,0.9906832298136646,0.0,0.0,0.0,0.0,15 min - 1 hour,2.71,sweb.env.x86_64.428468730904ff6b4232aa:latest
astropy__astropy-14096,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15 min - 1 hour,2.71,sweb.env.x86_64.428468730904ff6b4232aa:latest
astropy__astropy-14182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15 min - 1 hour,2.71,sweb.env.x86_64.428468730904ff6b4232aa:latest
astropy__astropy-14309,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,<15 min fix,2.7,sweb.env.x86_64.428468730904ff6b4232aa:latest
