id,anthropic/claude-3-opus-20240229_score,anthropic/claude-3-opus-20240229_pass_to_pass_pass_rate,anthropic/claude-3-opus-20240229_fail_to_pass_pass_rate,anthropic/claude-3-sonnet-20240229_score,anthropic/claude-3-sonnet-20240229_pass_to_pass_pass_rate,anthropic/claude-3-sonnet-20240229_fail_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20240620_score,anthropic/claude-3-5-sonnet-20240620_pass_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20240620_fail_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20241022_score,anthropic/claude-3-5-sonnet-20241022_pass_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20241022_fail_to_pass_pass_rate,openai/gpt4o-2024-08-06_score,openai/gpt4o-2024-08-06_pass_to_pass_pass_rate,openai/gpt4o-2024-08-06_fail_to_pass_pass_rate,openai/gpt-4o-mini-2024-07-18_score,openai/gpt-4o-mini-2024-07-18_pass_to_pass_pass_rate,openai/gpt-4o-mini-2024-07-18_fail_to_pass_pass_rate,openai/gpt-4-turbo-2024-04-09_score,openai/gpt-4-turbo-2024-04-09_pass_to_pass_pass_rate,openai/gpt-4-turbo-2024-04-09_fail_to_pass_pass_rate,difficulty,size_in_gb,environment
pydata__xarray-4075,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,<15 min fix,4.99,sweb.env.x86_64.502d8fc6ebccd881244091:latest
pytest-dev__pytest-7205,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,<15 min fix,2.39,sweb.env.x86_64.5d1fda9d55d65d8a4e5bdb:latest
django__django-11400,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.1666666666666666,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,1-4 hours,2.76,sweb.env.x86_64.2baaea72acc974f6c02079:latest
django__django-11964,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.9333333333333332,0.0,0.0,1.0,0.0,0.0,0.9333333333333332,0.0,<15 min fix,2.76,sweb.env.x86_64.a18371b03f944585b4f08c:latest
sympy__sympy-20916,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,<15 min fix,2.59,sweb.env.x86_64.c795f4b88616b8462021ed:latest
sympy__sympy-22080,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15 min - 1 hour,2.59,sweb.env.x86_64.c795f4b88616b8462021ed:latest
pydata__xarray-4966,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8095238095238095,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15 min - 1 hour,4.99,sweb.env.x86_64.502d8fc6ebccd881244091:latest
django__django-11099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,<15 min fix,2.76,sweb.env.x86_64.2baaea72acc974f6c02079:latest
django__django-17084,0.0,1.0,,0.0,1.0,,0.0,0.9906542056074766,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,15 min - 1 hour,2.95,sweb.env.x86_64.c70909fdac4897d1c685df:latest
django__django-12858,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.958904109589041,0.0,15 min - 1 hour,2.76,sweb.env.x86_64.a18371b03f944585b4f08c:latest
pylint-dev__pylint-4661,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,15 min - 1 hour,2.55,sweb.env.x86_64.e2b489bd66c1f2830ed0c5:latest
django__django-14771,0.0,0.9666666666666668,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15 min - 1 hour,2.88,sweb.env.x86_64.934a137824256b612e9dc5:latest
django__django-13551,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,<15 min fix,2.76,sweb.env.x86_64.e83e37f52c09532c62acfb:latest
django__django-11951,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,<15 min fix,2.76,sweb.env.x86_64.a18371b03f944585b4f08c:latest
pydata__xarray-4094,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,<15 min fix,4.99,sweb.env.x86_64.502d8fc6ebccd881244091:latest
django__django-15375,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,15 min - 1 hour,2.89,sweb.env.x86_64.934a137824256b612e9dc5:latest
sympy__sympy-13551,0.0,0.8823529411764706,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9375,0.0,0.0,1.0,0.0,0.0,1.0,,15 min - 1 hour,2.58,sweb.env.x86_64.c795f4b88616b8462021ed:latest
