id,together/Qwen/Qwen2.5-Coder-32B-Instruct_score,together/Qwen/Qwen2.5-Coder-32B-Instruct_pass_to_pass_pass_rate,together/Qwen/Qwen2.5-Coder-32B-Instruct_fail_to_pass_pass_rate,together/Qwen/Qwen2.5-7B-Instruct-Turbo_score,together/Qwen/Qwen2.5-7B-Instruct-Turbo_pass_to_pass_pass_rate,together/Qwen/Qwen2.5-7B-Instruct-Turbo_fail_to_pass_pass_rate,anthropic/claude-3-opus-20240229_score,anthropic/claude-3-opus-20240229_pass_to_pass_pass_rate,anthropic/claude-3-opus-20240229_fail_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20240620_score,anthropic/claude-3-5-sonnet-20240620_pass_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20240620_fail_to_pass_pass_rate,openai/gpt-3.5-turbo-0125_score,openai/gpt-3.5-turbo-0125_pass_to_pass_pass_rate,openai/gpt-3.5-turbo-0125_fail_to_pass_pass_rate,openai/gpt4o-2024-08-06_score,openai/gpt4o-2024-08-06_pass_to_pass_pass_rate,openai/gpt4o-2024-08-06_fail_to_pass_pass_rate,together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo_score,together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo_pass_to_pass_pass_rate,together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo_fail_to_pass_pass_rate,together/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo_score,together/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo_pass_to_pass_pass_rate,together/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo_fail_to_pass_pass_rate,together/Qwen/Qwen2.5-72B-Instruct-Turbo_score,together/Qwen/Qwen2.5-72B-Instruct-Turbo_pass_to_pass_pass_rate,together/Qwen/Qwen2.5-72B-Instruct-Turbo_fail_to_pass_pass_rate,anthropic/claude-2.1_score,anthropic/claude-2.1_pass_to_pass_pass_rate,anthropic/claude-2.1_fail_to_pass_pass_rate,anthropic/claude-3-sonnet-20240229_score,anthropic/claude-3-sonnet-20240229_pass_to_pass_pass_rate,anthropic/claude-3-sonnet-20240229_fail_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20241022_score,anthropic/claude-3-5-sonnet-20241022_pass_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20241022_fail_to_pass_pass_rate,openai/gpt-4o-mini-2024-07-18_score,openai/gpt-4o-mini-2024-07-18_pass_to_pass_pass_rate,openai/gpt-4o-mini-2024-07-18_fail_to_pass_pass_rate,openai/gpt-4-turbo-2024-04-09_score,openai/gpt-4-turbo-2024-04-09_pass_to_pass_pass_rate,openai/gpt-4-turbo-2024-04-09_fail_to_pass_pass_rate,together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo_score,together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo_pass_to_pass_pass_rate,together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo_fail_to_pass_pass_rate,openai/o1-2024-12-17_score,openai/o1-2024-12-17_pass_to_pass_pass_rate,openai/o1-2024-12-17_fail_to_pass_pass_rate,difficulty,size_in_gb,environment
django__django-14311,0.0,0.9491525423728814,1.0,,,,0.0,0.9491525423728814,1.0,0.0,0.9491525423728814,0.0,0.0,1.0,0.0,0.0,0.9491525423728814,1.0,0.0,0.9491525423728814,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9491525423728814,1.0,0.0,1.0,0.0,0.0,0.9491525423728814,1.0,0.0,0.0,0.0,0.0,0.9491525423728814,1.0,15 min - 1 hour,2.86,sweb.env.x86_64.297af196949a2a635bce66:latest
scikit-learn__scikit-learn-12973,,,,,,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.96875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.90625,0.0,0.0,0.8125,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.96875,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15 min - 1 hour,3.5,sweb.env.x86_64.aa92880033da20ca313928:latest
django__django-13401,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15 min - 1 hour,2.76,sweb.env.x86_64.e83e37f52c09532c62acfb:latest
django__django-15814,,,,,,,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15 min - 1 hour,2.89,sweb.env.x86_64.a33dddf55cdff5d8e23374:latest
django__django-14672,1.0,,1.0,,,,1.0,,1.0,1.0,,1.0,0.0,,0.0,0.0,,0.9940476190476192,1.0,,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,,1.0,1.0,,1.0,0.0,,0.0,1.0,,1.0,0.0,,0.9940476190476192,1.0,,1.0,15 min - 1 hour,2.86,sweb.env.x86_64.297af196949a2a635bce66:latest
django__django-13089,0.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,<15 min fix,2.76,sweb.env.x86_64.e83e37f52c09532c62acfb:latest
django__django-9296,,,,,,,0.0,0.9444444444444444,0.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,1.0,1.0,1.0,<15 min fix,2.76,sweb.env.x86_64.a18371b03f944585b4f08c:latest
sympy__sympy-20438,,,,,,,0.0,0.989247311827957,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.989247311827957,0.0,0.0,0.6344086021505376,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.978494623655914,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15 min - 1 hour,2.59,sweb.env.x86_64.c795f4b88616b8462021ed:latest
pydata__xarray-6744,,,,,,,0.0,0.9983471074380166,0.0,0.0,0.9983471074380166,0.0,0.0,0.9983471074380166,0.0,0.0,0.996694214876033,0.3333333333333333,0.0,0.015426997245179,0.0,0.0,0.9983471074380166,0.0,0.0,0.015426997245179,0.0,0.0,0.9983471074380166,0.0,0.0,0.9983471074380166,0.0,0.0,0.9983471074380166,0.0,0.0,0.9840220385674932,0.0,0.0,0.9884297520661156,0.0,0.0,0.9983471074380166,0.0,1.0,1.0,1.0,15 min - 1 hour,4.64,sweb.env.x86_64.62bfc5a3a7fdf6d9876424:latest
matplotlib__matplotlib-25311,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9447513812154696,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,<15 min fix,7.46,sweb.env.x86_64.efa6065ed5bf204410fd53:latest
