id,together/Qwen/Qwen2.5-Coder-32B-Instruct_score,together/Qwen/Qwen2.5-Coder-32B-Instruct_pass_to_pass_pass_rate,together/Qwen/Qwen2.5-Coder-32B-Instruct_fail_to_pass_pass_rate,together/Qwen/Qwen2.5-7B-Instruct-Turbo_score,together/Qwen/Qwen2.5-7B-Instruct-Turbo_pass_to_pass_pass_rate,together/Qwen/Qwen2.5-7B-Instruct-Turbo_fail_to_pass_pass_rate,anthropic/claude-3-opus-20240229_score,anthropic/claude-3-opus-20240229_pass_to_pass_pass_rate,anthropic/claude-3-opus-20240229_fail_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20240620_score,anthropic/claude-3-5-sonnet-20240620_pass_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20240620_fail_to_pass_pass_rate,openai/gpt-3.5-turbo-0125_score,openai/gpt-3.5-turbo-0125_pass_to_pass_pass_rate,openai/gpt-3.5-turbo-0125_fail_to_pass_pass_rate,openai/gpt4o-2024-08-06_score,openai/gpt4o-2024-08-06_pass_to_pass_pass_rate,openai/gpt4o-2024-08-06_fail_to_pass_pass_rate,together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo_score,together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo_pass_to_pass_pass_rate,together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo_fail_to_pass_pass_rate,together/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo_score,together/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo_pass_to_pass_pass_rate,together/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo_fail_to_pass_pass_rate,together/Qwen/Qwen2.5-72B-Instruct-Turbo_score,together/Qwen/Qwen2.5-72B-Instruct-Turbo_pass_to_pass_pass_rate,together/Qwen/Qwen2.5-72B-Instruct-Turbo_fail_to_pass_pass_rate,anthropic/claude-2.1_score,anthropic/claude-2.1_pass_to_pass_pass_rate,anthropic/claude-2.1_fail_to_pass_pass_rate,anthropic/claude-3-sonnet-20240229_score,anthropic/claude-3-sonnet-20240229_pass_to_pass_pass_rate,anthropic/claude-3-sonnet-20240229_fail_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20241022_score,anthropic/claude-3-5-sonnet-20241022_pass_to_pass_pass_rate,anthropic/claude-3-5-sonnet-20241022_fail_to_pass_pass_rate,openai/gpt-4o-mini-2024-07-18_score,openai/gpt-4o-mini-2024-07-18_pass_to_pass_pass_rate,openai/gpt-4o-mini-2024-07-18_fail_to_pass_pass_rate,openai/gpt-4-turbo-2024-04-09_score,openai/gpt-4-turbo-2024-04-09_pass_to_pass_pass_rate,openai/gpt-4-turbo-2024-04-09_fail_to_pass_pass_rate,together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo_score,together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo_pass_to_pass_pass_rate,together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo_fail_to_pass_pass_rate,openai/o1-2024-12-17_score,openai/o1-2024-12-17_pass_to_pass_pass_rate,openai/o1-2024-12-17_fail_to_pass_pass_rate,difficulty,size_in_gb,environment
django__django-11790,1.0,1.0,1.0,,,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,15 min - 1 hour,2.76,sweb.env.x86_64.a18371b03f944585b4f08c:latest
django__django-12050,1.0,1.0,1.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,15 min - 1 hour,2.76,sweb.env.x86_64.a18371b03f944585b4f08c:latest
django__django-12262,0.0,1.0,0.0,,,,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,15 min - 1 hour,2.76,sweb.env.x86_64.a18371b03f944585b4f08c:latest
django__django-12713,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9482758620689656,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15 min - 1 hour,2.76,sweb.env.x86_64.a18371b03f944585b4f08c:latest
sphinx-doc__sphinx-8475,,,,,,,0.0,1.0,0.0,,,,0.0,1.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.6470588235294118,0.0,0.0,1.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.8235294117647058,0.0,0.0,1.0,0.0,0.0,,,1.0,1.0,1.0,0.0,0.6470588235294118,0.0,1.0,1.0,1.0,<15 min fix,2.57,sweb.env.x86_64.764c21123474adcba1e003:latest
sphinx-doc__sphinx-8721,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,1.0,1.0,1.0,<15 min fix,2.56,sweb.env.x86_64.764c21123474adcba1e003:latest
sphinx-doc__sphinx-9320,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,<15 min fix,2.56,sweb.env.x86_64.764c21123474adcba1e003:latest
sphinx-doc__sphinx-9698,,,,,,,0.0,1.0,0.0,0.0,0.8666666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9777777777777776,0.0,1.0,1.0,1.0,<15 min fix,2.56,sweb.env.x86_64.764c21123474adcba1e003:latest
django__django-11848,0.0,1.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,1.0,1.0,15 min - 1 hour,2.76,sweb.env.x86_64.a18371b03f944585b4f08c:latest
django__django-12774,0.0,1.0,,,,,0.0,1.0,,0.0,0.951219512195122,,0.0,1.0,,0.0,0.951219512195122,,0.0,0.951219512195122,,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,,0.0,0.951219512195122,,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.951219512195122,,15 min - 1 hour,2.76,sweb.env.x86_64.a18371b03f944585b4f08c:latest
